,Movie Name,Genre,Country,Release Date,Percentage User score,Description,Movie link
0,Diary of a Wimpy Kid: Rodrick Rules,"['Family', 'Comedy']",US,2011-03-25,67,"Wimpy Greg Heffley, now in seventh grade, thinks he has it all together. He has mastered middle school and gotten rid of the Cheese Touch. However, Greg's older brother, Rodrick, is itching to cut him down to size. He gets the perfect opportunity when their mother tries to force the boys to bond. Rodrick may be Greg's chief tormentor, but he feels his constant pranks are just what his little brother needs to prepare him for life's hard knocks.",https://www.themoviedb.org/movie/60307-diary-of-a-wimpy-kid-rodrick-rules
1,Cinderella Man,"['Romance', 'Drama', 'History']",US,2005-06-02,76,"The true story of boxer Jim Braddock who, following his retirement in the 1930s, makes a surprise comeback in order to lift his family out of poverty.",https://www.themoviedb.org/movie/921-cinderella-man
2,Package Deal,['Drama'],PH,2024-08-09,50,Aa story about a newlywed that receive a surprise guest that will eventually turn the couple’s world upside down.,https://www.themoviedb.org/movie/1312863-package-deal
3,Insidious: Chapter 2,"['Horror', 'Thriller']",US,2013-09-13,67,The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.,https://www.themoviedb.org/movie/91586-insidious-chapter-2
4,The Last Duel,"['History', 'Drama', 'Action']",EG,2021-10-13,74,"King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire, Jacques Le Gris, by challenging him to a duel.",https://www.themoviedb.org/movie/617653-the-last-duel
5,Chappie,"['Crime', 'Action', 'Science Fiction']",US,2015-03-06,68,"Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundings—some good, some bad—and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.",https://www.themoviedb.org/movie/198184-chappie
6,Ghost Killers vs. Bloody Mary,"['Horror', 'Comedy']",BR,2018-11-29,56,A group of three youtubers who call themselves experts in supernatural beings decide to win public recognition once and for all. For this they plot a plan to capture a being known to all. It is the spirit of a light-haired woman who died in an unknown way and who haunts the bathrooms of schools across the country: the blonde in the bathroom.,https://www.themoviedb.org/movie/560491-exterminadores-do-alem-contra-a-loira-do-banheiro
7,The Keeper,"['Drama', 'War', 'History']",GB,2019-04-05,75,"The story of a man whose love for football, for England and for the love of his life, Margaret, saw him rise from Nazi 'villain' to British hero. Bert Trautmann, the German goalkeeper won over even his harshest opponents by winning the FA Cup Final for Manchester City in 1956 - playing on with a broken neck to secure victory.",https://www.themoviedb.org/movie/489763-trautmann
8,Blood and Chocolate,"['Drama', 'Fantasy', 'Horror', 'Romance']",US,2007-01-26,54,A young teenage werewolf is torn between honoring her family's secret and her love for a man.,https://www.themoviedb.org/movie/10075-blood-and-chocolate
9,Something Wild,"['Crime', 'Comedy', 'Romance']",US,1986-11-07,65,"A free-spirited woman ""kidnaps"" a yuppie for a weekend of adventure. But the fun quickly takes a dangerous turn when her ex-con husband shows up.",https://www.themoviedb.org/movie/11300-something-wild
10,Return of the Jedi,"['Adventure', 'Action', 'Science Fiction']",US,1983-05-25,79,"Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.",https://www.themoviedb.org/movie/1892-return-of-the-jedi
11,Yes Day,"['Family', 'Comedy']",US,2021-03-12,67,A mom and dad who usually say no decide to say yes to their kids' wildest requests — with a few ground rules — on a whirlwind day of fun and adventure.,https://www.themoviedb.org/movie/638597-yes-day
12,My Sassy Girl,"['Drama', 'Comedy', 'Romance']",KR,2001-07-27,75,"A dweeby, mild-mannered man comes to the aid of a drunk young woman on a subway platform. Little does he know how much trouble he’s in for.",https://www.themoviedb.org/movie/11178
13,Ice Age,"['Animation', 'Comedy', 'Family', 'Adventure']",EG,2002-07-10,74,"With the impending ice age almost upon them, a mismatched trio of prehistoric critters – Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth – find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims.",https://www.themoviedb.org/movie/425-ice-age
14,Lost Girls,"['Drama', 'Mystery', 'Thriller', 'History']",US,2020-01-28,61,"When Mari Gilbert's daughter disappears, police inaction drives her own investigation into the gated Long Island community where Shannan was last seen. Her search brings attention to over a dozen murdered prostitutes.",https://www.themoviedb.org/movie/567970-lost-girls
15,All the Old Knives,"['Thriller', 'Action']",US,2022-04-08,60,"When the CIA discovers one of its agents leaked information that cost more than 100 people their lives, veteran operative Henry Pelham is assigned to root out the mole with his former lover and colleague Celia Harrison.",https://www.themoviedb.org/movie/294793-all-the-old-knives
16,Below Her Mouth,"['Drama', 'Romance']",CA,2017-02-10,68,An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.,https://www.themoviedb.org/movie/370663-below-her-mouth
